loathe; nienawidzić, gardzić
dungarees;ogrodniczki
bow tie;muszka
shifting;przeniesienie
slaming down; walnąć
nonetheless;pomimo
brittle;kruchy (o włosach, paznokciach)
agility;zwinność
morbid;chorobliwy
relocity;szybkość
bump;guz
cushion;poduszka
inflated;nadmuchany
harnessed;przypięty
ribs;żebra
limbs;kończyny
undercooked;niedogotowany
overeat;przejeść się
misspell;literówka
dampness;wilgoć
inadequate;nieodpowiedni
adder;żmija
sting;żądło
vain;próżny
crawl;czołgać się, raczkować
mangled;zmasakrowany
emerge;pojawić się, wyłonić się
domestic;domowy
wrinkles;zmarszczki
as far as i'm concerned;jeśli o mnie chodzi
genre-gatunek(filmowy)
praise;wychwalać
resemble;przypominać
stunning;zapierający dech
withdrew;wycofać
familirize;zapoznać (się z czymś)
at once;natyczmiast
crashed into;zderzyć się z 
poke fun at sbd;nabijać się z kogoś
beside the point;nie na temat
be on duty; być na służbie
on behalf;w imieniu
cram;wkuwać
playing truant;chodzić na wagary
disseration;praca naukowa
submit;dostarczyć
mock exam;egzamin próbny
to assemble;gromadzić się
cheat sheet;ściga
praise;chwalić(kogoś)
converted;zaadoptowany
swiwel chair;krzesło obrotowe
windowsill;parapet
convincingly;przekonująco
lightbulb;żarówka
stuntman;kaskader
dimmed;przyciemniony
aggravation;pogorszenie
poverty;bieda
self-sufficient;samowystarczalny
revival;odżycie, ożywienie
concede;przyznawać (rację)
reluctant;niechętny
vicar;proboszcz
subsequently;następnie
conjure up;wyczarować
flatly;płasko
beyond;ponad
distinction;różnica
chancer;farciarz
highwayman;rozbójnik
rocking chair;fotel bujany
radiator;kaloryfer
bunk beds;łóżko piętrowe
vanetian blinds;żaluzje
knick-kcacks;bibelot
roller blinds;rolety
stool;stołek, taboret
display cabinet;gablotka
cluttered;zagracony
airy;przestronny
housing estate;osiedle mieszkaniowe
run-down;zniszczony
tile;kłaść kafelki
leaking;przeciekający
intirior;wnętrze
mortage;hipoteka, kredyt kipoteczny
loan;dług
put in fittings;zainstalować wyposażenie
bystander;świadek
tackle a situation;stawiać czoło
to overtake a car;wyprzedzać samochód
hand in;wręczyć
handicapped;upośledzony, niepełnosprawny
flatter;schlebiać
pursue;uprawiać(zawód)
fellow;członek
chase;podążać
trace;tropić
track;tropić
unfold;rozkładać (mapę)
ripen;dojrzeć (owoc)
flood;susza
reveal;odsłaniać, wyjawiać
regain;odzyskać
inherit;odziedziczyć
fumes;spaliny
arson;podpalenie
skid;szwankować
resemble;przypominać
deceive;oszukać, nabrać
comprehensive;ogólnokształcąca
